dataset_name,performance,time_used
abalone,-2.2304628116305785,47
cd18,-1.4770519138495397,173
covertype,0.9552966196363064,48
gnad10,0.7897101481392461,111
mldoc,0.09360354552780016,114
airbnb_melbourne,-9999,159
airlines,-9999,95
bioresponse,-9999,353
camo_sem_seg,-9999,546
climate_fever,-9999,52
electricity_hourly,-9999,337
europeanflooddepth,-9999,127
fiqabeir,-9999,77
ham10000,-9999,246
hateful_meme,-9999,392
isic2017,-9999,217
kick_starter_funding,-9999,59
memotion,-9999,356
nn5_daily_without_missing,-9999,46
petfinder,-9999,139
road_segmentation,-9999,122
rvl_cdip,-9999,143
solar_10_minutes,-9999,18
women_clothing_review,-9999,26
yolanda,-9999,72
