dataset_name,performance,time_used
abalone,-9999,4
airbnb_melbourne,-9999,4
airlines,-9999,58
bioresponse,0.7934906520747834,4
camo_sem_seg,-9999,6
cd18,-9999,140
climate_fever,-9999,0
covertype,-9999,103
electricity_hourly,-9999,8
europeanflooddepth,-9999,245
fiqabeir,-9999,16
gnad10,-9999,8
ham10000,-9999,731
hateful_meme,-9999,5
isic2017,-9999,7
kick_starter_funding,-9999,5
memotion,-9999,1
mldoc,0.9485730580122854,1265
nn5_daily_without_missing,-4.682116055780269,6
petfinder,0.3501352435230807,3
road_segmentation,-9999,6
rvl_cdip,-9999,10800
solar_10_minutes,-9999,4
women_clothing_review,-9999,423
yolanda,-9999,10
